year,city,country,avg_temp,7日移动平均值
1820,Tianjin,China,10.18,
1821,Tianjin,China,11.51,
1822,Tianjin,China,11.5,
1823,Tianjin,China,10.96,
1824,Tianjin,China,11.96,
1825,Tianjin,China,11.73,
1826,Tianjin,China,11.65,11.35571429
1827,Tianjin,China,12.2,11.64428571
1828,Tianjin,China,11.42,11.63142857
1829,Tianjin,China,11.26,11.59714286
1830,Tianjin,China,11.81,11.71857143
1831,Tianjin,China,10.57,11.52
1832,Tianjin,China,10.69,11.37142857
1833,Tianjin,China,11.14,11.29857143
1834,Tianjin,China,11.52,11.20142857
1835,Tianjin,China,10.79,11.11142857
1836,Tianjin,China,11.17,11.09857143
1837,Tianjin,China,10.93,10.97285714
1838,Tianjin,China,,11.04
1839,Tianjin,China,10.63,11.03
1840,Tianjin,China,11.29,11.055
1841,Tianjin,China,10.15,10.82666667
1842,Tianjin,China,11.31,10.91333333
1843,Tianjin,China,11.45,10.96
1844,Tianjin,China,11.57,11.06666667
1845,Tianjin,China,11.43,11.11857143
1846,Tianjin,China,11.95,11.30714286
1847,Tianjin,China,11.88,11.39142857
1848,Tianjin,China,11.56,11.59285714
1849,Tianjin,China,11.53,11.62428571
1850,Tianjin,China,10.68,11.51428571
1851,Tianjin,China,10.44,11.35285714
1852,Tianjin,China,10.65,11.24142857
1853,Tianjin,China,10.95,11.09857143
1854,Tianjin,China,11.6,11.05857143
1855,Tianjin,China,11.82,11.09571429
1856,Tianjin,China,11.42,11.08
1857,Tianjin,China,11.3,11.16857143
1858,Tianjin,China,11.66,11.34285714
1859,Tianjin,China,11.8,11.50714286
1860,Tianjin,China,10.4,11.42857143
1861,Tianjin,China,10.81,11.31571429
1862,Tianjin,China,10.62,11.14428571
1863,Tianjin,China,11.81,11.2
1864,Tianjin,China,10.97,11.15285714
1865,Tianjin,China,11.3,11.10142857
1866,Tianjin,China,11.56,11.06714286
1867,Tianjin,China,12.01,11.29714286
1868,Tianjin,China,11.66,11.41857143
1869,Tianjin,China,12.12,11.63285714
1870,Tianjin,China,11.42,11.57714286
1871,Tianjin,China,11.55,11.66
1872,Tianjin,China,11.39,11.67285714
1873,Tianjin,China,11.76,11.70142857
1874,Tianjin,China,11.82,11.67428571
1875,Tianjin,China,11.78,11.69142857
1876,Tianjin,China,12.28,11.71428571
1877,Tianjin,China,11.27,11.69285714
1878,Tianjin,China,11.38,11.66857143
1879,Tianjin,China,11.53,11.68857143
1880,Tianjin,China,11.14,11.6
1881,Tianjin,China,11.36,11.53428571
1882,Tianjin,China,11.84,11.54285714
1883,Tianjin,China,11.25,11.39571429
1884,Tianjin,China,10.82,11.33142857
1885,Tianjin,China,11.07,11.28714286
1886,Tianjin,China,11.41,11.27
1887,Tianjin,China,11.33,11.29714286
1888,Tianjin,China,11.13,11.26428571
1889,Tianjin,China,11.09,11.15714286
1890,Tianjin,China,11.98,11.26142857
1891,Tianjin,China,12,11.43
1892,Tianjin,China,11.21,11.45
1893,Tianjin,China,10.96,11.38571429
1894,Tianjin,China,12.13,11.5
1895,Tianjin,China,10.86,11.46142857
1896,Tianjin,China,11.34,11.49714286
1897,Tianjin,China,11.37,11.41
1898,Tianjin,China,12.49,11.48
1899,Tianjin,China,12.48,11.66142857
1900,Tianjin,China,12.01,11.81142857
1901,Tianjin,China,11.71,11.75142857
1902,Tianjin,China,12.66,12.00857143
1903,Tianjin,China,12.12,12.12
1904,Tianjin,China,11.69,12.16571429
1905,Tianjin,China,11.25,11.98857143
1906,Tianjin,China,11.32,11.82285714
1907,Tianjin,China,11.6,11.76428571
1908,Tianjin,China,11.32,11.70857143
1909,Tianjin,China,11.15,11.49285714
1910,Tianjin,China,11.08,11.34428571
1911,Tianjin,China,10.93,11.23571429
1912,Tianjin,China,10.95,11.19285714
1913,Tianjin,China,11.29,11.18857143
1914,Tianjin,China,12.07,11.25571429
1915,Tianjin,China,10.98,11.20714286
1916,Tianjin,China,11.13,11.20428571
1917,Tianjin,China,10.97,11.18857143
1918,Tianjin,China,11.21,11.22857143
1919,Tianjin,China,11.91,11.36571429
1920,Tianjin,China,12.28,11.50714286
1921,Tianjin,China,11.85,11.47571429
1922,Tianjin,China,11.78,11.59
1923,Tianjin,China,11.48,11.64
1924,Tianjin,China,11.74,11.75
1925,Tianjin,China,11.63,11.81
1926,Tianjin,China,11.95,11.81571429
1927,Tianjin,China,12,11.77571429
1928,Tianjin,China,11.69,11.75285714
1929,Tianjin,China,11.9,11.77
1930,Tianjin,China,12.01,11.84571429
1931,Tianjin,China,11.45,11.80428571
1932,Tianjin,China,11.96,11.85142857
1933,Tianjin,China,11.22,11.74714286
1934,Tianjin,China,11.4,11.66142857
1935,Tianjin,China,12.37,11.75857143
1936,Tianjin,China,11.08,11.64142857
1937,Tianjin,China,11.79,11.61
1938,Tianjin,China,12.14,11.70857143
1939,Tianjin,China,12.37,11.76714286
1940,Tianjin,China,12.25,11.91428571
1941,Tianjin,China,12.39,12.05571429
1942,Tianjin,China,12.41,12.06142857
1943,Tianjin,China,12.56,12.27285714
1944,Tianjin,China,11.95,12.29571429
1945,Tianjin,China,12.34,12.32428571
1946,Tianjin,China,12.51,12.34428571
1947,Tianjin,China,10.83,12.14142857
1948,Tianjin,China,12.57,12.16714286
1949,Tianjin,China,12.39,12.16428571
1950,Tianjin,China,11.9,12.07
1951,Tianjin,China,12.02,12.08
1952,Tianjin,China,11.71,11.99
1953,Tianjin,China,11.96,11.91142857
1954,Tianjin,China,11.34,11.98428571
1955,Tianjin,China,12.21,11.93285714
1956,Tianjin,China,10.84,11.71142857
1957,Tianjin,China,11.16,11.60571429
1958,Tianjin,China,12.1,11.61714286
1959,Tianjin,China,12.39,11.71428571
1960,Tianjin,China,12.24,11.75428571
1961,Tianjin,China,12.95,11.98428571
1962,Tianjin,China,12.24,11.98857143
1963,Tianjin,China,12.36,12.20571429
1964,Tianjin,China,11.63,12.27285714
1965,Tianjin,China,12.36,12.31
1966,Tianjin,China,11.87,12.23571429
1967,Tianjin,China,11.69,12.15714286
1968,Tianjin,China,12.13,12.04
1969,Tianjin,China,10.86,11.84285714
1970,Tianjin,China,11.47,11.71571429
1971,Tianjin,China,11.86,11.74857143
1972,Tianjin,China,11.99,11.69571429
1973,Tianjin,China,12.17,11.73857143
1974,Tianjin,China,11.79,11.75285714
1975,Tianjin,China,12.99,11.87571429
1976,Tianjin,China,11.59,11.98
1977,Tianjin,China,12.34,12.10428571
1978,Tianjin,China,12.42,12.18428571
1979,Tianjin,China,11.89,12.17
1980,Tianjin,China,11.85,12.12428571
1981,Tianjin,China,12.22,12.18571429
1982,Tianjin,China,12.74,12.15
1983,Tianjin,China,12.86,12.33142857
1984,Tianjin,China,11.7,12.24
1985,Tianjin,China,11.44,12.1
1986,Tianjin,China,12.03,12.12
1987,Tianjin,China,12.35,12.19142857
1988,Tianjin,China,12.51,12.23285714
1989,Tianjin,China,13.07,12.28
1990,Tianjin,China,12.72,12.26
1991,Tianjin,China,12.36,12.35428571
1992,Tianjin,China,12.48,12.50285714
1993,Tianjin,China,12.47,12.56571429
1994,Tianjin,China,13.29,12.7
1995,Tianjin,China,12.81,12.74285714
1996,Tianjin,China,12.31,12.63428571
1997,Tianjin,China,13.06,12.68285714
1998,Tianjin,China,13.55,12.85285714
1999,Tianjin,China,13.4,12.98428571
2000,Tianjin,China,12.88,13.04285714
2001,Tianjin,China,13.06,13.01
2002,Tianjin,China,13.39,13.09285714
2003,Tianjin,China,12.84,13.16857143
2004,Tianjin,China,13.29,13.20142857
2005,Tianjin,China,12.89,13.10714286
2006,Tianjin,China,13.25,13.08571429
2007,Tianjin,China,13.7,13.20285714
2008,Tianjin,China,13.12,13.21142857
2009,Tianjin,China,12.97,13.15142857
2010,Tianjin,China,12.25,13.06714286
2011,Tianjin,China,12.77,12.99285714
2012,Tianjin,China,12.29,12.90714286
2013,Tianjin,China,14.14,13.03428571
